,rank,name,revenues,revenue_percent_change,profits,profits_percent_change,assets,market_value,change_in_rank,employees,profited,rank_change
959,960,AvalonBay Communities,2294.9,-0.3,1004.3,21.3,19902.0,34710.3,-64,2883,1,1
960,961,Saia,2288.7,25.6,253.2,83.1,1845.3,6438.4,-,11600,1,1
961,962,E.W. Scripps,2283.5,19.2,122.7,-54.4,6658.3,1718.3,17,5600,1,0
962,963,TTEC Holdings,2273.1,16.6,141.0,18.8,1996.8,3878.0,11,65000,1,0
963,964,Sun Communities,2272.6,62.5,380.2,188.8,13494.1,20372.8,-,5455,1,1
965,966,GEO Group,2256.6,-4.0,77.4,-31.5,4537.4,809.8,-83,15800,1,1
967,968,Benchmark Electronics,2255.3,9.8,35.8,154.5,1903.9,881.4,-18,10900,1,1
968,969,Kar Auction Services,2251.6,2.9,66.5,13200.0,7417.2,2187.3,-56,8928,1,1
971,972,Woodward,2245.8,-10.0,208.6,-13.2,4091.0,7882.4,-130,7200,1,1
973,974,Spire,2235.5,20.5,271.7,206.7,9356.4,3713.6,25,3710,1,0
976,977,LHC Group,2219.6,7.6,115.7,3.7,2895.6,5229.6,-30,23000,1,1
977,978,Amedisys,2214.1,6.9,209.1,13.9,1857.0,5603.9,-39,21000,1,1
980,981,Aerojet Rocketdyne Holdings,2188.0,5.6,143.7,4.4,2433.6,3169.4,-36,5000,1,1
